year,playlist_genre,count
1954,jazz,1
1957,pop,1
1962,blues,1
1964,pop,1
1965,rock,1
1966,rock,2
1967,rock,1
1968,rock,1
1969,rock,2
1970,rock,2
1971,rock,3
1972,folk,4
1972,rock,3
1973,blues,1
1973,rock,3
1974,rock,1
1975,pop,3
1975,rock,2
1976,classical,1
1976,pop,2
1976,rock,5
1977,pop,3
1977,rock,8
1978,country,2
1978,pop,1
1978,rock,3
1979,pop,3
1979,rock,6
1980,pop,1
1980,reggae,1
1980,rock,10
1981,pop,5
1981,rock,7
1982,blues,1
1982,country,1
1982,rock,9
1983,blues,1
1983,metal,3
1983,pop,3
1983,reggae,1
1983,rock,2
1984,pop,3
1984,rock,16
1985,blues,2
1985,korean,1
1985,pop,3
1985,rock,3
1986,metal,2
1986,pop,3
1986,rock,5
1987,pop,1
1987,rock,7
1988,blues,1
1988,metal,4
1988,rock,4
1989,blues,2
1989,rock,4
1990,blues,2
1990,cantopop,1
1990,electronic,1
1990,hip-hop,2
1990,jazz,2
1990,metal,6
1990,pop,1
1990,rock,5
1990,world,2
1991,blues,3
1991,brazilian,2
1991,indian,1
1991,jazz,1
1991,metal,2
1991,reggae,1
1991,rock,11
1991,world,2
1992,arabic,1
1992,blues,3
1992,cantopop,4
1992,electronic,3
1992,hip-hop,4
1992,jazz,1
1992,metal,5
1992,rock,4
1993,blues,1
1993,brazilian,3
1993,classical,1
1993,disco,1
1993,electronic,1
1993,hip-hop,8
1993,jazz,1
1993,pop,2
1993,reggae,1
1993,rock,6
1994,blues,6
1994,brazilian,2
1994,classical,2
1994,hip-hop,5
1994,jazz,1
1994,latin,1
1994,metal,3
1994,pop,3
1994,rock,9
1995,blues,3
1995,classical,1
1995,electronic,1
1995,hip-hop,8
1995,reggae,1
1995,rock,2
1995,soca,1
1996,arabic,1
1996,blues,4
1996,brazilian,5
1996,electronic,1
1996,hip-hop,3
1996,jazz,3
1996,latin,2
1996,metal,1
1996,pop,4
1996,reggae,2
1996,rock,2
1996,world,2
1997,blues,2
1997,classical,3
1997,electronic,2
1997,hip-hop,6
1997,jazz,2
1997,metal,2
1997,pop,4
1997,rock,7
1997,world,2
1998,blues,3
1998,brazilian,1
1998,classical,2
1998,electronic,1
1998,hip-hop,5
1998,jazz,3
1998,latin,1
1998,metal,4
1998,pop,4
1998,r&b,1
1998,rock,5
1999,blues,3
1999,brazilian,3
1999,classical,3
1999,electronic,1
1999,hip-hop,8
1999,jazz,3
1999,korean,1
1999,latin,2
1999,pop,3
1999,punk,4
1999,rock,8
2000,ambient,1
2000,blues,4
2000,brazilian,5
2000,cantopop,1
2000,classical,1
2000,electronic,2
2000,folk,1
2000,jazz,1
2000,latin,1
2000,pop,7
2000,punk,2
2000,rock,2
2000,world,1
2001,blues,2
2001,brazilian,7
2001,cantopop,2
2001,electronic,4
2001,jazz,1
2001,metal,4
2001,pop,7
2001,punk,4
2001,r&b,5
2001,rock,2
2001,world,1
2002,blues,5
2002,brazilian,6
2002,classical,1
2002,country,1
2002,indian,1
2002,jazz,2
2002,latin,2
2002,pop,8
2002,punk,7
2002,r&b,2
2002,reggae,1
2002,rock,15
2002,world,2
2003,blues,2
2003,brazilian,3
2003,classical,2
2003,country,1
2003,electronic,1
2003,hip-hop,1
2003,jazz,1
2003,latin,4
2003,pop,2
2003,punk,6
2003,r&b,1
2003,rock,8
2003,world,1
2004,blues,2
2004,brazilian,2
2004,cantopop,4
2004,classical,1
2004,electronic,4
2004,jazz,3
2004,metal,2
2004,pop,2
2004,punk,8
2004,r&b,4
2004,rock,5
2004,world,1
2005,blues,6
2005,brazilian,2
2005,classical,2
2005,electronic,1
2005,folk,1
2005,jazz,1
2005,latin,1
2005,metal,1
2005,pop,6
2005,punk,10
2005,r&b,1
2005,reggae,3
2005,rock,4
2005,world,2
2006,blues,3
2006,brazilian,4
2006,cantopop,1
2006,classical,3
2006,electronic,1
2006,jazz,3
2006,latin,4
2006,pop,3
2006,punk,7
2006,r&b,1
2006,rock,5
2006,world,3
2007,blues,5
2007,brazilian,1
2007,classical,3
2007,electronic,1
2007,folk,1
2007,hip-hop,3
2007,indian,1
2007,jazz,4
2007,latin,3
2007,pop,6
2007,punk,5
2007,r&b,4
2007,reggae,1
2007,rock,7
2007,world,4
2008,blues,4
2008,brazilian,3
2008,cantopop,3
2008,classical,2
2008,electronic,2
2008,jazz,1
2008,pop,11
2008,punk,2
2008,r&b,2
2008,rock,5
2009,ambient,1
2009,blues,2
2009,cantopop,1
2009,classical,2
2009,folk,1
2009,gaming,1
2009,jazz,1
2009,korean,1
2009,latin,1
2009,metal,1
2009,pop,4
2009,punk,1
2009,rock,9
2009,world,2
2010,ambient,1
2010,arabic,2
2010,blues,3
2010,brazilian,4
2010,classical,5
2010,country,2
2010,electronic,10
2010,folk,3
2010,gaming,1
2010,hip-hop,2
2010,indian,2
2010,jazz,1
2010,latin,8
2010,metal,3
2010,pop,11
2010,punk,3
2010,r&b,3
2010,rock,6
2010,world,4
2011,ambient,1
2011,arabic,2
2011,blues,5
2011,brazilian,1
2011,cantopop,2
2011,classical,7
2011,electronic,8
2011,gaming,3
2011,indian,1
2011,jazz,1
2011,pop,13
2011,punk,4
2011,rock,1
2011,soca,1
2011,world,7
2012,arabic,2
2012,brazilian,2
2012,classical,5
2012,electronic,7
2012,folk,3
2012,gaming,3
2012,hip-hop,4
2012,jazz,2
2012,latin,5
2012,pop,25
2012,punk,2
2012,r&b,1
2012,reggae,1
2012,rock,9
2012,soca,2
2012,world,1
2013,ambient,1
2013,arabic,2
2013,blues,1
2013,brazilian,3
2013,cantopop,7
2013,classical,3
2013,disco,1
2013,electronic,14
2013,folk,2
2013,gaming,4
2013,hip-hop,1
2013,indian,1
2013,indie,2
2013,latin,4
2013,metal,2
2013,pop,13
2013,punk,3
2013,r&b,1
2013,reggae,1
2013,rock,2
2013,world,3
2014,ambient,6
2014,arabic,1
2014,blues,1
2014,brazilian,1
2014,cantopop,1
2014,classical,8
2014,country,1
2014,disco,2
2014,electronic,23
2014,folk,5
2014,funk,1
2014,hip-hop,1
2014,indian,1
2014,latin,6
2014,metal,1
2014,pop,19
2014,reggae,1
2014,rock,3
2014,world,2
2015,ambient,2
2015,arabic,2
2015,brazilian,1
2015,classical,7
2015,disco,2
2015,electronic,19
2015,folk,3
2015,funk,1
2015,gaming,1
2015,hip-hop,3
2015,indian,3
2015,jazz,1
2015,latin,4
2015,pop,14
2015,punk,1
2015,reggae,1
2015,rock,1
2015,soca,1
2015,world,4
2016,ambient,3
2016,arabic,4
2016,blues,1
2016,brazilian,9
2016,classical,3
2016,country,1
2016,disco,2
2016,electronic,21
2016,folk,2
2016,funk,2
2016,hip-hop,7
2016,indian,2
2016,jazz,1
2016,korean,13
2016,latin,3
2016,metal,1
2016,pop,22
2016,punk,1
2016,r&b,2
2016,reggae,2
2016,rock,1
2016,soca,2
2016,world,7
2017,ambient,14
2017,arabic,3
2017,blues,1
2017,brazilian,6
2017,classical,3
2017,electronic,23
2017,folk,3
2017,gaming,1
2017,hip-hop,21
2017,indie,3
2017,jazz,1
2017,korean,2
2017,latin,4
2017,lofi,3
2017,pop,21
2017,punk,3
2017,r&b,6
2017,rock,4
2017,soca,1
2017,world,10
2018,ambient,6
2018,arabic,12
2018,brazilian,4
2018,classical,5
2018,electronic,21
2018,folk,4
2018,funk,2
2018,gaming,3
2018,hip-hop,22
2018,indian,6
2018,indie,2
2018,jazz,1
2018,latin,7
2018,lofi,6
2018,pop,13
2018,r&b,1
2018,rock,1
2018,soca,1
2018,world,10
2019,ambient,8
2019,arabic,15
2019,brazilian,12
2019,classical,6
2019,electronic,14
2019,gaming,3
2019,hip-hop,22
2019,indian,3
2019,indie,1
2019,latin,56
2019,lofi,8
2019,pop,23
2019,punk,1
2019,r&b,2
2019,reggae,2
2019,rock,4
2019,soca,1
2019,world,28
2020,afrobeats,5
2020,ambient,6
2020,arabic,11
2020,brazilian,4
2020,classical,8
2020,electronic,18
2020,folk,3
2020,funk,2
2020,gaming,5
2020,gospel,2
2020,hip-hop,33
2020,indian,6
2020,indie,5
2020,j-pop,3
2020,jazz,2
2020,korean,1
2020,latin,82
2020,lofi,25
2020,pop,9
2020,r&b,3
2020,reggae,1
2020,rock,3
2020,soul,2
2020,world,37
