decade,playlist_genre,count,prev_count,change
50s,afrobeats,0.0,,0.0
60s,afrobeats,0.0,0.0,0.0
70s,afrobeats,0.0,0.0,0.0
80s,afrobeats,0.0,0.0,0.0
90s,afrobeats,0.0,0.0,0.0
00s,afrobeats,0.0,0.0,0.0
10s,afrobeats,0.0,0.0,0.0
20s,afrobeats,82.0,0.0,82.0
50s,ambient,0.0,,0.0
60s,ambient,0.0,0.0,0.0
70s,ambient,0.0,0.0,0.0
80s,ambient,0.0,0.0,0.0
90s,ambient,0.0,0.0,0.0
00s,ambient,2.0,0.0,2.0
10s,ambient,42.0,2.0,40.0
20s,ambient,315.0,42.0,273.0
50s,arabic,0.0,,0.0
60s,arabic,0.0,0.0,0.0
70s,arabic,0.0,0.0,0.0
80s,arabic,0.0,0.0,0.0
90s,arabic,2.0,0.0,2.0
00s,arabic,0.0,2.0,-2.0
10s,arabic,45.0,0.0,45.0
20s,arabic,161.0,45.0,116.0
50s,blues,0.0,,0.0
60s,blues,1.0,0.0,1.0
70s,blues,1.0,1.0,0.0
80s,blues,7.0,1.0,6.0
90s,blues,30.0,7.0,23.0
00s,blues,35.0,30.0,5.0
10s,blues,12.0,35.0,-23.0
20s,blues,2.0,12.0,-10.0
50s,brazilian,0.0,,0.0
60s,brazilian,0.0,0.0,0.0
70s,brazilian,0.0,0.0,0.0
80s,brazilian,0.0,0.0,0.0
90s,brazilian,16.0,0.0,16.0
00s,brazilian,33.0,16.0,17.0
10s,brazilian,43.0,33.0,10.0
20s,brazilian,56.0,43.0,13.0
50s,cantopop,0.0,,0.0
60s,cantopop,0.0,0.0,0.0
70s,cantopop,0.0,0.0,0.0
80s,cantopop,0.0,0.0,0.0
90s,cantopop,5.0,0.0,5.0
00s,cantopop,12.0,5.0,7.0
10s,cantopop,10.0,12.0,-2.0
20s,cantopop,0.0,10.0,-10.0
50s,classical,0.0,,0.0
60s,classical,0.0,0.0,0.0
70s,classical,1.0,0.0,1.0
80s,classical,0.0,1.0,-1.0
90s,classical,12.0,0.0,12.0
00s,classical,17.0,12.0,5.0
10s,classical,52.0,17.0,35.0
20s,classical,39.0,52.0,-13.0
50s,country,0.0,,0.0
60s,country,0.0,0.0,0.0
